2019-12-10 18:51:46.268250|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.10.2 (2019-11-20 08:39:31)
2019-12-10 18:51:46.269222|INFO    |ServerLibPriv |   |SystemInformation: Windows Server 2016 (14393) x64 (AMD or Intel) Binary: 64bit
2019-12-10 18:51:46.269222|INFO    |ServerLibPriv |   |Using hardware aes
2019-12-10 18:51:46.271212|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2019-12-10 18:51:46.271212|INFO    |DatabaseQuery |   |dbPlugin version: 2
2019-12-10 18:51:46.408291|WARNING |Accounting    |   |Unable to open  /licensekey.dat, falling back to limited functionality
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |Licensing Information
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |licensed to       : Anonymous
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |type              : No License
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |starting date     : Mon Jul  1 00:00:00 2019
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |ending date       : Wed Jul  1 00:00:00 2020
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |max virtualservers: 1
2019-12-10 18:51:46.411325|INFO    |Accounting    |   |max slots         : 32
2019-12-10 18:51:46.541410|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-12-10 18:51:49.838386|INFO    |              |   |Puzzle precompute time: 3368
2019-12-10 18:51:49.838386|INFO    |FileManager   |   |listening on 192.168.1.222:30033
2019-12-10 18:51:49.930484|ERROR   |VirtualSvrMgr |   |loading VirtualServer(2) failed to start, error: virtualserver limit reached
2019-12-10 18:51:49.931491|INFO    |Query         |   |listening for query on 192.168.1.222:10011
2019-12-10 18:51:49.934487|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-12-10 18:51:49.934487|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-12-11 18:51:46.693471|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-12-12 08:31:05.414528|ERROR   |DatabaseQuery |   |db_open() select distinct c.client_id, c.server_id from (clients c left outer jo error: Lost connection to MySQL server during query
2019-12-12 18:51:46.820168|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-12-13 18:51:46.946212|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-12-14 18:51:47.073960|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
